date,published_at,source_id,source_name,author,content,title,url,url_image
2021-08-08,2021-08-08T01:34:00,,Slashdot.org,EditorDavid,The plant he had bought was in trouble. It was competing with cheap natural gas on the power grid and losing — endangering the 35 jobs at Scrubgrass Generating Station along with the effort to clean … [+2418 chars],Why a Waste-Coal Power Plant is 'Burning for Bitcoin',https://news.slashdot.org/story/21/08/08/0132207/why-a-waste-coal-power-plant-is-burning-for-bitcoin,https://a.fsdn.com/sd/topics/earth_64.png
2021-08-08,2021-08-08T20:30:00,,Boing Boing,Boing Boing's Shop,"If you never hear word of Bitcoin ever again, it'll be too soon. But here's the thing. While the merits of cryptocurrency, as well as its long-term prognosis, may vary, you won't find many tech exper… [+2006 chars]",Blockchain could change the world. This $20 course package could show you how.,https://boingboing.net/2021/08/08/blockchain-could-change-the-world-this-20-course-package-could-show-you-how.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2021/08/sale_300291_article_image.jpeg?fit=1200%2C800&ssl=1
2021-08-08,2021-08-08T09:10:00,,Forbes,"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/","Bitcoin and cryptocurrency prices have soared this week, with bitcoin nearing $50,000 per bitcoin for the first time since mid-May (subscribe now to Forbes' CryptoAsset &amp; Blockchain Advisor and d… [+4522 chars]","$300 Billion Crypto Price Boom: Bitcoin Is Suddenly Soaring Toward $50,000 As Ethereum, BNB, Cardano, XRP, Dogecoin And Uniswap Surge",https://www.forbes.com/sites/billybambrough/2021/08/08/300-billion-crypto-price-boom-bitcoin-is-suddenly-soaring-toward-50000-as-ethereum-bnb-cardano-xrp-dogecoin-and-uniswap-surge/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F610f922ecdb09cbca4f7c323%2F0x0.jpg%3FcropX1%3D0%26cropX2%3D846%26cropY1%3D41%26cropY2%3D517
2021-08-08,2021-08-08T11:17:00,,Boing Boing,Thom Dunn,"Move over, Dogecoin there's a new pop culture gimmick crypto in town: the Middle Earth-inspired JRR Token. Why a Tolkien cryptocurrency? How much is it worth? ""Saruman was trying to unify Middle Eart… [+1392 chars]","New crypto currency JRR Token wants to be the ""one coin to rule them all""",https://boingboing.net/2021/08/08/new-crypto-currency-jrr-token-wants-to-be-the-one-coin-to-rule-them-all.html,http://img.youtube.com/vi/5pIOTLR0HD8/0.jpg
2021-08-08,2021-08-08T13:30:00,,Entrepreneur,Entrepreneur Store,"August
8, 2021
2 min read
Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the… [+2239 chars]",How Learning Blockchain Can Prepare You For the Future,https://www.entrepreneur.com/article/379470,https://assets.entrepreneur.com/content/3x2/2000/1628179761-Ent-BchainDevelopment.jpg
2021-08-08,2021-08-08T22:07:30,,The Daily Hodl,Daily Hodl Staff,"A widely followed crypto strategist and trader is predicting big bullish moves for Bitcoin and Ethereum as the broader crypto markets continue to flash signs of strength.
The crypto analyst, known i… [+1708 chars]","Popular Crypto Strategist Predicts Huge Breakouts for Bitcoin and Ethereum, Says One Altcoin Set for Fireworks - The Daily Hodl",https://dailyhodl.com/2021/08/08/popular-crypto-strategist-predicts-huge-breakouts-for-bitcoin-and-ethereum-says-one-altcoin-set-for-fireworks/,https://i1.wp.com/dailyhodl.com/wp-content/uploads/2020/12/ie1823709e.jpg?fit=1365%2C800&ssl=1
2021-08-08,2021-08-08T09:20:00,,Forbes,"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/","Dogecoin, the tongue-in-cheek, meme-based cryptocurrency that exploded into the crypto top ten this year, has added 25% to its price this week (subscribe now to Forbes' CryptoAsset &amp; Blockchain A… [+3454 chars]",Crypto Price Prediction: Dogecoin ‘Pump And Dump’ Cycle Could Send The Memecoin Soaring By The End Of 2021,https://www.forbes.com/sites/billybambrough/2021/08/08/crypto-price-prediction-dogecoin-pump-and-dump-cycle-could-send-the-memecoin-soaring-by-the-end-of-2021/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F610f9ed417e59df6515a3f90%2F0x0.jpg%3FcropX1%3D0%26cropX2%3D843%26cropY1%3D41%26cropY2%3D516
2021-08-08,2021-08-08T09:49:03,,Cryptonews,Linas Kmieliauskas,"Source: iStock/WhiteBarbie
The crypto market continued its rally on Sunday, with bitcoin (BTC) surpassing USD 45,000 for the first time since May and ethereum (ETH) inching higher above USD 3,000. M… [+1401 chars]","Bitcoin Tests USD 45K, Ethereum Above USD 3K, Dogecoin Rallies - Cryptonews",https://cryptonews.com/news/bitcoin-tests-usd-45k-ethereum-above-usd-3k-dogecoin-rallies-11351.htm,https://cimg.co/w/articles/0/610/fa8adc03ac.jpg
2021-08-08,2021-08-08T12:36:00,,Motley Fool,Motley Fool,"Even after showings signs of a recovery in recent weeks, the price of two leading digital coins, Bitcoin (CRYPTO:BTC)and Ethereum (CRYPTO:ETH), have fallen almost 30% since May. Meanwhile, trading vo… [+5478 chars]",Is the Cryptocurrency Bear Market Over?,https://www.fool.com/investing/2021/08/08/is-the-cryptocurrency-bear-market-over/,https://g.foolcdn.com/editorial/images/634593/gettyimages-1296463085.jpg
2021-08-08,2021-08-08T16:52:52,,CryptoPotato,Daniel Joe,"BTC has continued to push up with impressive spot volume hitting an intraday high of $45.3k even during weekend trading.
The cryptocurrency is now testing one of the most critical levels of resistan… [+3217 chars]",Bitcoin Long-Term Buy Indicator Just Flashed as BTC Faces Critical Resistance (Price Analysis) - CryptoPotato,https://cryptopotato.com/bitcoin-long-term-buy-indicator-just-flashed-as-btc-faces-critical-resistance-price-analysis/,https://cryptopotato.com/wp-content/uploads/2021/08/img1-7.jpg
