date,published_at,source_id,source_name,author,content,title,url,url_image
2021-08-07,2021-08-07T17:00:00,,Entrepreneur,Bremner Morris,"August
7, 2021
6 min read
Opinions expressed by Entrepreneur contributors are their own.
In the last few years, crypto has become much more widely adopted and understood due to consumer-friendly … [+5901 chars]",3 Tips for Creators and Celebs Looking to Jump Into Crypto,https://www.entrepreneur.com/article/377474,https://assets.entrepreneur.com/content/3x2/2000/1628196244-shutterstock-777867397.jpg
2021-08-07,2021-08-07T14:21:07,,The Indian Express,Bloomberg,"Bitcoin and Ether reached their highest levels in more than two months after a major Ethereum upgrade and despite uncertainty over crypto rules in the U.S. infrastructure plan.
Bitcoin gained as muc… [+1609 chars]",Bitcoin and Ether hit highest since mid-May as sentiment warms,https://indianexpress.com/article/business/bitcoin-ether-highest-crypto-currency-7443440/,https://images.indianexpress.com/2021/06/ethereum-bitcoin-cryptocurrencies-pixabay-1200.jpg
2021-08-07,2021-08-07T18:43:08,,National Post,Bloomberg News,"The legislation still faces challenges in the House, where Democrats can only afford three defectors if Republicans vote in unison against the bill 
The exterior of the U.S. Capitol is seen during a… [+7599 chars]","Infrastructure bill clears senate major hurdle, passage in sight - National Post",https://nationalpost.com/news/world/infrastructure-bill-clears-senate-major-hurdle-passage-in-sight,https://smartcdn.prod.postmedia.digital/nationalpost/wp-content/uploads/2021/08/1234543219-1.jpg
2021-08-07,2021-08-07T18:03:54,business-insider,Business Insider,jzeballos@businessinsider.com (Joseph Zeballos-Roig),"The Senate advanced a bipartisan infrastructure bill on Saturday, bringing it another step closer to final passage sometime over the weekend.
It cleared the upper chamber in a 67-27 vote on Saturday… [+1689 chars]","Senate advances $1.2 trillion infrastructure bill, bringing it closer to final passage with McConnell's support",https://www.businessinsider.com/senate-biden-infrastructure-bill-closer-to-final-passage-2021-8,https://i.insider.com/6107ca7639e63d001884d6c9?width=1200&format=jpeg
2021-08-07,2021-08-07T13:05:34,,HYPEBEAST,"info@hypebeast.com (HYPEBEAST), HYPEBEAST","Marvel has officially joined the NFT sphere with five different Spider-Man “collectibles.” The entertainment juggernaut announced its move into NFTs back in June, promising digital comic books, “stat… [+1352 chars]",Spider-Man Swings Into the World of Digital Collectables as Marvel’s First Official NFT,https://hypebeast.com/2021/8/spider-man-marvel-first-official-nft-release-date,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2021%2F08%2Fspider-man-marvel-first-official-nft-release-date-tw-0.jpg?w=960&cbr=1&q=90&fit=max
2021-08-07,2021-08-07T04:28:28,the-times-of-india,The Times of India,ET Bureau,"Mumbai: The Reserve Bank of India may come out with a model on initial implementation of Indias sovereign digital unit, aka Central Bank Digital Currency (CBDC), as early as the end of this year, dep… [+1054 chars]",RBI may come out with model on India’s digital currency by year-end,https://economictimes.indiatimes.com/markets/cryptocurrency/model-on-indias-digital-currency-by-year-end/articleshow/85114237.cms,"https://img.etimg.com/thumb/msid-85121305,width-1070,height-580,imgsize-1150389,overlay-etmarkets/photo.jpg"
2021-08-07,2021-08-07T10:00:00,reuters,Reuters,David Morgan,WASHINGTON (Reuters) - The U.S. Senate will meet for the second weekend in a row on Saturday in hopes of passing a $1 trillion infrastructure bill that has struggled to overcome a series of last-minu… [+3331 chars],U.S. Senate meets on Saturday to consider $1 trillion infrastructure bill - Reuters,https://www.reuters.com/article/us-usa-biden-infrastructure-idUSKBN2F80A9,https://static.reuters.com/resources/r/?m=02&d=20210807&t=2&i=1571271262&r=LYNXMPEH7605H&w=800
2021-08-07,2021-08-07T10:12:00,reuters,Reuters,David Morgan,"Vehicles are parked outside the U.S. Capitol building the morning the Senate returned to session in Washington, DC, U.S., July 31, 2021. REUTERS/Elizabeth Frantz/File PhotoWASHINGTON, Aug 7 (Reuters)… [+3459 chars]",U.S. Senate meets on Saturday to consider $1 trillion infrastructure bill - Reuters,https://www.reuters.com/world/us/us-senate-meets-saturday-consider-1-trillion-infrastructure-bill-2021-08-07/,https://www.reuters.com/resizer/Skpk_PqB-hOeAzlHmOW7S8v8-KE=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EVRS6NPDQNLFBKCDBB6NVHJHC4.jpg
2021-08-07,2021-08-07T04:23:04,,HYPEBEAST,"info@hypebeast.com (HYPEBEAST), HYPEBEAST","Many brands are starting to see a recovery despite the challenges initially brought on by the pandemic. Some businesses, especially ones that focused efforts on expanding e-commerce ventures, have ev… [+3630 chars]",Method Man Is Releasing NFTs and adidas Brought In Over $6 Million USD in This Week’s Business and Crypto Roundup,https://hypebeast.com/2021/8/business-and-crypto-here-are-our-top-stories-of-the-week-august-6,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2021%2F08%2Fbusiness-and-crypto-here-are-our-top-stories-of-the-week-august-6-tw.jpg?w=960&cbr=1&q=90&fit=max
2021-08-07,2021-08-07T14:01:06,,Livemint,Bloomberg,"Bitcoin and Ether reached their highest levels in more than two months after a major Ethereum upgrade and despite uncertainty over crypto rules in the U.S. infrastructure plan.
Bitcoin gained as muc… [+1825 chars]",Bitcoin and Ether hit highest since mid-May as sentiment warms - Mint,https://www.livemint.com/market/cryptocurrency/bitcoin-and-ether-hit-highest-since-mid-may-as-sentiment-warms-11628344708574.html,https://images.livemint.com/img/2021/08/07/600x338/7e0117e6-efaf-11eb-8afd-d00aafa64d53_1628041137953_1628344835575.jpg
